location,date,SO2,PM10,O3,NO2,CO,PM25
UND,20160101,0.004,58,0.011,0.025,1,
UND,20160102,0.004,58,0.014,0.03,0.8,
UND,20160103,0.005,67,0.014,0.024,0.9,
UND,20160104,0.008,86,0.016,0.03,0.8,
UND,20160105,0.012,37,0.009,0.026,0.4,
UND,20160106,0.01,74,0.005,0.034,0.8,
UND,20160107,0.007,51,0.013,0.021,0.5,
UND,20160108,0.006,42,0.01,0.026,0.5,
UND,20160109,0.008,45,0.013,0.024,0.5,
UND,20160110,0.006,54,0.013,0.025,0.8,
UND,20160111,0.006,43,0.008,0.03,0.7,
UND,20160112,0.009,59,0.01,0.029,0.8,
UND,20160113,0.009,35,0.015,0.019,0.6,
UND,20160114,0.004,41,0.016,0.021,0.6,
UND,20160115,0.006,74,0.007,0.039,1.2,
UND,20160116,0.007,108,0.003,0.042,1.4,
UND,20160117,0.013,68,0.004,0.034,1.1,
UND,20160118,0.003,42,0.019,0.017,0.7,
UND,20160119,0.004,38,0.022,0.011,0.5,
UND,20160120,0.006,38,0.011,0.021,0.5,
UND,20160121,0.01,48,0.007,0.028,0.6,
UND,20160122,0.013,49,0.007,0.03,0.8,
UND,20160123,0.025,34,0.021,0.012,0.4,
UND,20160124,0.012,30,0.02,0.011,0.5,
UND,20160125,0.013,68,0.006,0.029,0.8,
UND,20160126,0.016,81,0.007,0.034,0.9,
UND,20160127,0.012,91,0.008,0.04,1.2,
UND,20160128,0.008,86,0.004,0.039,1.1,
UND,20160129,0.006,26,0.015,0.022,0.4,
UND,20160130,0.009,32,0.008,0.026,0.6,
UND,20160131,0.011,40,0.018,0.017,0.5,
MPD,20160101,0.003,64,0.008,0.023,0.4,
MPD,20160102,0.003,53,0.014,0.021,0.3,
MPD,20160103,0.003,67,0.008,0.021,0.4,
MPD,20160104,0.004,91,0.018,0.02,0.4,
MPD,20160105,0.003,37,0.011,0.02,0.3,
MPD,20160106,0.005,63,0.006,0.023,0.4,
MPD,20160107,0.003,56,0.015,0.014,0.3,
MPD,20160108,0.003,43,0.01,0.018,0.4,
MPD,20160109,0.002,43,0.016,0.015,0.4,
MPD,20160110,0.003,61,0.012,0.016,0.4,
MPD,20160111,0.003,56,0.009,0.021,0.4,
MPD,20160112,0.003,53,0.011,0.02,0.4,
MPD,20160113,0.002,41,0.013,0.016,0.3,
MPD,20160114,0.003,42,0.017,0.017,0.3,
MPD,20160115,0.004,68,0.007,0.028,0.5,
MPD,20160116,0.003,96,0.006,0.028,0.5,
MPD,20160117,0.002,83,0.006,0.025,0.5,
MPD,20160118,0.002,41,0.022,0.011,0.3,
MPD,20160119,0.002,23,0.024,0.008,0.2,
MPD,20160120,0.003,44,0.013,0.018,0.4,
MPD,20160121,0.004,56,0.009,0.025,0.4,
MPD,20160122,0.003,47,0.011,0.023,0.4,
MPD,20160123,0.003,33,0.023,0.009,0.3,
MPD,20160124, -, -, -, -, -,
MPD,20160125, -, -, -, -, -,
MPD,20160126, -, -, -, -, -,
MPD,20160127,0.004,87,0.01,0.032,0.6,
MPD,20160128,0.003,106,0.005,0.033,0.6,
MPD,20160129,0.003,42,0.012,0.022,0.4,
MPD,20160130,0.003,47,0.01,0.019,0.5,
MPD,20160131,0.003,49,0.019,0.013,0.4,
MCD,20160101,0.005,57,0.011,0.026,0.7,
MCD,20160102,0.005,48,0.022,0.021,0.5,
MCD,20160103,0.005,63,0.019,0.022,0.7,
MCD,20160104,0.006,97,0.026,0.027,0.6,
MCD,20160105,0.005,32,0.011,0.029,0.3,
MCD,20160106,0.008,54,0.006,0.033,0.6,
MCD,20160107,0.005,42,0.019,0.019,0.4,
MCD,20160108,0.006,34,0.013,0.026,0.4,
MCD,20160109,0.005,30,0.019,0.02,0.4,
MCD,20160110,0.006,59,0.017,0.024,0.7,
MCD,20160111,0.007,50,0.009,0.032,0.7,
MCD,20160112,0.007,39,0.014,0.025,0.7,
MCD,20160113,0.003,30,0.023,0.015,0.4,
MCD,20160114,0.007,36,0.019,0.024,0.6,
MCD,20160115,0.007,61,0.01,0.034,0.8,
MCD,20160116,0.007,90,0.006,0.038,1,
MCD,20160117,0.008,77,0.004,0.039,1.2,
MCD,20160118,0.004,39,0.024,0.016,0.6,
MCD,20160119,0.003,19,0.027,0.011,0.4,
MCD,20160120,0.007,43,0.011,0.03,0.4,
MCD,20160121,0.01,52,0.007,0.036,0.6,
MCD,20160122,0.007,43,0.01,0.033,0.5,
MCD,20160123,0.005,30,0.023,0.017,0.3,
MCD,20160124,0.005,28,0.024,0.015,0.4,
MCD,20160125,0.006,53,0.014,0.026,0.6,
MCD,20160126,0.008,66,0.012,0.034,0.7,
MCD,20160127,0.009,79,0.012,0.038,0.9,
MCD,20160128,0.01,82,0.009,0.042,0.8,
MCD,20160129,0.005,26,0.022,0.022,0.4,
MCD,20160130,0.007,32,0.011,0.028,0.5,
MCD,20160131,0.006,39,0.02,0.022,0.4,
GSD,20160101,0.002,56,0.011,0.01,0.7,
GSD,20160102,0.002,44,0.018,0.012,0.5,
GSD,20160103,0.002,56,0.016,0.011,0.7,
GSD,20160104,0.004,80,0.027,0.011,0.5,
GSD,20160105,0.003,28,0.014,0.013,0.3,
GSD,20160106,0.004,54,0.007,0.02,0.6,
GSD,20160107,0.004,40,0.02,0.007,0.4,
GSD,20160108,0.004,31,0.013,0.011,0.4,
GSD,20160109,0.003,30,0.016,0.01,0.4,
GSD,20160110,0.004,48,0.018,0.009,0.5,
GSD,20160111,0.004,40,0.011,0.012,0.5,
GSD,20160112,0.003,37,0.013,0.009,0.5,
GSD,20160113,0.002,29,0.019,0.006,0.4,
GSD,20160114,0.003,35,0.021,0.006,0.3,
GSD,20160115,0.004,58,0.008,0.016,0.7,
GSD,20160116,0.003,83,0.005,0.016,0.8,
GSD,20160117,0.003,73,0.004,0.017,0.7,
GSD,20160118,0.002,33,0.023,0.005,0.4,
GSD,20160119,0.002,17,0.026,0.002,0.2,
GSD,20160120,0.004,36,0.016,0.008,0.3,
GSD,20160121,0.005,51,0.01,0.012,0.5,
GSD,20160122,0.004,36,0.011,0.01,0.5,
GSD,20160123,0.004,27,0.025,0.005,0.3,
GSD,20160124,0.003,25,0.022,0.005,0.3,
GSD,20160125,0.003,48,0.009,0.011,0.5,
GSD,20160126,0.004,69,0.011,0.015,0.6,
GSD,20160127,0.005,76,0.011,0.017,0.7,
GSD,20160128,0.005,92,0.005,0.018,0.8,
GSD,20160129,0.004,33,0.017,0.012,0.3,
GSD,20160130,0.004,37,0.01,0.014,0.4,
GSD,20160131,0.003,38,0.024,0.008,0.3,
NED,20160101,0.003,65,0.009,0.025,0.7,46
NED,20160102,0.003,56,0.015,0.025,0.6,34
NED,20160103,0.003,72,0.013,0.025,0.9,46
NED,20160104,0.004,88,0.021,0.02,0.6,59
NED,20160105,0.003,37,0.012,0.021,0.4,18
NED,20160106,0.003,64,0.007,0.027,0.6,35
NED,20160107,0.003,46,0.02,0.012,0.4,25
NED,20160108,0.003,39,0.014,0.019,0.4,20
NED,20160109,0.003,40,0.013,0.021,0.4,22
NED,20160110,0.003,55,0.017,0.02,0.5,33
NED,20160111,0.004,52,0.011,0.025,0.6,27
NED,20160112,0.003,47,0.012,0.023,0.5,25
NED,20160113,0.002,37,0.019,0.014,0.4,22
NED,20160114,0.002,43,0.022,0.014,0.4,21
NED,20160115,0.003,69,0.009,0.031,0.7,41
NED,20160116,0.004,96,0.005,0.039,0.9,66
NED,20160117,0.004,85,0.005,0.032,0.9,62
NED,20160118,0.002,40,0.021,0.01,0.3,23
NED,20160119,0.002,22,0.026,0.005,0.2,12
NED,20160120,0.003,41,0.015,0.018,0.4,27
NED,20160121,0.004,56,0.008,0.026,0.5,41
NED,20160122,0.003,44,0.01,0.027,0.5,29
NED,20160123,0.003,34,0.022,0.01,0.3,20
NED,20160124,0.002,32,0.022,0.011,0.3,22
NED,20160125,0.003,58,0.011,0.025,0.5,31
NED,20160126,0.003,75,0.012,0.026,0.6,45
NED,20160127,0.004,85,0.011,0.033,0.8,58
NED,20160128,0.005,98,0.005,0.036,0.9,72
NED,20160129,0.003,39,0.016,0.019,0.4,26
NED,20160130,0.003,46,0.009,0.022,0.5,32
NED,20160131,0.003,44,0.023,0.012,0.3,26
SND,20160101,0.009,48,0.009,0.023,0.8,35
SND,20160102,0.012,39,0.018,0.023,0.9,30
SND,20160103,0.013,55,0.016,0.023,1.1,43
SND,20160104,0.009,74,0.022,0.021,0.6,47
SND,20160105,0.009,26,0.009,0.022,0.5,14
SND,20160106,0.011,45,0.005,0.027,0.7,27
SND,20160107,0.008,37,0.014,0.018,0.5,20
SND,20160108,0.009,27,0.011,0.021,0.5,16
SND,20160109,0.009,28,0.013,0.021,0.5,17
SND,20160110,0.011,41,0.015,0.021,0.7,28
SND,20160111,0.011,38,0.009,0.025,0.7,23
SND,20160112,0.01,35,0.01,0.023,0.6,20
SND,20160113,0.006,25,0.016,0.016,0.4,17
SND,20160114,0.009,29,0.016,0.02,0.5,16
SND,20160115,0.013,50,0.009,0.029,1,33
SND,20160116,0.013,69,0.004,0.032,1.1,51
SND,20160117,0.013,59,0.007,0.027,0.9,42
SND,20160118,0.006,28,0.02,0.014,0.4,19
SND,20160119,0.005,14,0.022,0.011,0.3,8
SND,20160120,0.01,30,0.011,0.021,0.5,22
SND,20160121,0.013,40,0.006,0.028,0.6,29
SND,20160122,0.012,33,0.008,0.027,0.7,23
SND,20160123,0.009,24,0.02,0.014,0.4,14
SND,20160124,0.008,20,0.02,0.013,0.4,17
SND,20160125,0.011,37,0.009,0.026,0.7,23
SND,20160126,0.013,53,0.007,0.031,0.9,32
SND,20160127,0.019,65,0.01,0.034,1.4,46
SND,20160128,0.013,67,0.01,0.03,1,47
SND,20160129,0.008,21,0.021,0.015,0.5,15
SND,20160130,0.01,29,0.011,0.018,0.7,19
SND,20160131,0.01,36,0.019,0.014,0.5,22
JLD,20160101,0.002,49,0.013,0.02,0.6,41
JLD,20160102,0.003,40,0.02,0.024,0.6,28
JLD,20160103,0.002,53,0.018,0.02,0.7,40
JLD,20160104,0.004,71,0.023,0.025,0.7,58
JLD,20160105,0.004,32,0.01,0.026,0.4,19
JLD,20160106,0.004,49,0.008,0.028,0.6,31
JLD,20160107,0.004,36,0.019,0.018,0.5,23
JLD,20160108,0.004,32,0.015,0.022,0.5,18
JLD,20160109,0.002,32,0.017,0.02,0.4,22
JLD,20160110,0.004,53,0.014,0.025,0.7,34
JLD,20160111,0.004,50,0.01,0.027,0.7,39
JLD,20160112,0.003,35,0.013,0.023,0.6,24
JLD,20160113,0.002,29,0.02,0.017,0.5,19
JLD,20160114,0.004,34,0.02,0.021,0.5,18
JLD,20160115,0.004,54,0.009,0.03,0.8,36
JLD,20160116,0.003,77,0.009,0.029,0.9,58
JLD,20160117,0.002,69,0.005,0.032,0.9,59
JLD,20160118,0.002,32,0.025,0.015,0.5,21
JLD,20160119,0.002,18,0.027,0.01,0.3,10
JLD,20160120,0.004,36,0.014,0.025,0.5,24
JLD,20160121,0.005,45,0.008,0.032,0.6,36
JLD,20160122,0.004,38,0.01,0.03,0.6,33
JLD,20160123,0.004,30,0.022,0.016,0.4,16
JLD,20160124,0.003,26,0.023,0.013,0.4,18
JLD,20160125,0.002,48,0.016,0.02,0.5,22
JLD,20160126,0.003,59,0.011,0.03,0.5,35
JLD,20160127,0.005,65,0.014,0.033,0.7,49
JLD,20160128,0.005,79,0.005,0.041,0.8,68
JLD,20160129,0.004,28,0.014,0.032,0.5,23
JLD,20160130,0.004,34,0.008,0.033,0.6,28
JLD,20160131,0.003,36,0.02,0.019,0.4,28
DSD,20160101,0.002,46,0.011,0.018,0.7,
DSD,20160102,0.002,49,0.016,0.022,0.7,
DSD,20160103,0.003,59,0.015,0.02,0.9,
DSD,20160104,0.004,67,0.025,0.018,0.7,
DSD,20160105,0.003,25,0.011,0.018,0.4,
DSD,20160106,0.005,53,0.006,0.025,0.6,
DSD,20160107,0.004,34,0.017,0.014,0.4,
DSD,20160108,0.004,28,0.012,0.018,0.4,
DSD,20160109,0.003,29,0.013,0.018,0.5,
DSD,20160110,0.004,41,0.017,0.016,0.5,
DSD,20160111,0.005,33,0.01,0.022,0.5,
DSD,20160112,0.004,33,0.012,0.019,0.5,
DSD,20160113,0.002,25,0.016,0.015,0.4,
DSD,20160114,0.004,34,0.016,0.017,0.5,
DSD,20160115,0.004,61,0.006,0.029,0.9,
DSD,20160116,0.004,81,0.003,0.032,1,
DSD,20160117,0.003,54,0.003,0.029,0.9,
DSD,20160118,0.002,26,0.018,0.014,0.5,
DSD,20160119,0.002,13,0.023,0.008,0.4,
DSD,20160120,0.004,29,0.013,0.016,0.4,
DSD,20160121,0.006,40,0.007,0.023,0.5,
DSD,20160122,0.004,34,0.008,0.022,0.5,
DSD,20160123,0.004,24,0.022,0.009,0.2,
DSD,20160124,0.003,23,0.021,0.009,0.3,
DSD,20160125,0.003,51,0.007,0.021,0.5,
DSD,20160126,0.004,64,0.006,0.027,0.6,
DSD,20160127,0.005,66,0.009,0.028,0.8,
DSD,20160128,0.004,68,0.005,0.028,0.8,
DSD,20160129,0.003,22,0.013,0.019,0.4,
DSD,20160130,0.004,28,0.008,0.019,0.5,
DSD,20160131,0.003,32,0.02,0.012,0.3,
DHD,20160101,0.005,64,0.006,0.036,0.7,
DHD,20160102,0.005,54,0.012,0.033,0.6,
DHD,20160103,0.006,70,0.009,0.033,0.9,
DHD,20160104,0.006,96,0.016,0.03,0.5,
DHD,20160105,0.004,40,0.007,0.036,0.3,
DHD,20160106,0.006,62,0.004,0.049,0.6,
DHD,20160107,0.004,50,0.01,0.036,0.3,
DHD,20160108,0.005,41,0.008,0.04,0.4,
DHD,20160109,0.004,41,0.01,0.038,0.3,
DHD,20160110,0.005,55,0.011,0.037,0.5,
DHD,20160111,0.007,56,0.006,0.045,0.6,
DHD,20160112,0.005,49,0.007,0.05,0.5,
DHD,20160113,0.002,39,0.012,0.033,0.3,
DHD,20160114,0.004,51,0.011,0.038,0.4,
DHD,20160115,0.006,68,0.006,0.05,0.8,
DHD,20160116,0.006,93,0.003,0.055,1,
DHD,20160117,0.006,83,0.002,0.052,0.9,
DHD,20160118,0.003,48,0.013,0.027,0.3,
DHD,20160119,0.002,22,0.016,0.022,0.2,
DHD,20160120,0.005,45,0.006,0.03,0.4,
DHD,20160121,0.007,57,0.004,0.038,0.6,
DHD,20160122,0.006,54,0.005,0.036,0.6,
DHD,20160123,0.004,37,0.016,0.015,0.2,
DHD,20160124,0.003,32,0.015,0.015,0.2,
DHD,20160125,0.005,52,0.006,0.032,0.6,
DHD,20160126,0.005,62,0.004,0.028,0.7,
DHD,20160127,0.009,80,0.006,0.024,1.1,
DHD,20160128,0.008,85,0.004,0.024,1,
DHD,20160129,0.004,32,0.011,0.017,0.4,
DHD,20160130,0.006,45,0.005,0.017,0.6,
DHD,20160131,0.005,50,0.013,0.013,0.4,
WPD,20160101,0.002,42,0.013,0.019,0.6,
WPD,20160102,0.002,43,0.019,0.022,0.6,
WPD,20160103,0.002,57,0.02,0.022,0.9,
WPD,20160104,0.004,71,0.022,0.032,0.8,
WPD,20160105,0.003,31,0.009,0.032,0.4,
WPD,20160106,0.004,53,0.006,0.036,0.6,
WPD,20160107,0.004,36,0.016,0.025,0.5,
WPD,20160108,0.004,32,0.012,0.028,0.5,
WPD,20160109,0.003,26,0.017,0.023,0.4,
WPD,20160110,0.003,46,0.017,0.024,0.7,
WPD,20160111,0.004,39,0.01,0.032,0.7,
WPD,20160112,0.004,31,0.013,0.026,0.6,
WPD,20160113,0.002,28,0.02,0.017,0.5,
WPD,20160114,0.003,38,0.019,0.022,0.5,
WPD,20160115,0.003,56,0.01,0.033,0.9,
WPD,20160116,0.003,82,0.005,0.042,1.2,
WPD,20160117,0.003,59,0.004,0.04,1.1,
WPD,20160118,0.002,25,0.02,0.022,0.6,
WPD,20160119,0.002,17,0.023,0.015,0.4,
WPD,20160120,0.004,38,0.014,0.027,0.5,
WPD,20160121,0.005,44,0.007,0.037,0.6,
WPD,20160122,0.004,40,0.009,0.034,0.6,
WPD,20160123,0.004,27,0.02,0.021,0.4,
WPD,20160124,0.003,21,0.022,0.015,0.5,
WPD,20160125,0.002,50,0.012,0.027,0.6,
WPD,20160126,0.003,58,0.013,0.033,0.7,
WPD,20160127,0.004,63,0.014,0.032,0.8,
WPD,20160128,0.005,66,0.006,0.047,1,
WPD,20160129,0.003,23,0.011,0.04,0.6,
WPD,20160130,0.003,26,0.007,0.036,0.8,
WPD,20160131,0.003,33,0.017,0.024,0.6,
UND,20160201,0.008,43,0.018,0.019,0.4,
UND,20160202,0.007,44,0.011,0.029,0.6,
UND,20160203,0.006,59,0.013,0.036,0.8,
UND,20160204,0.006,66,0.012,0.038,0.9,
UND,20160205,0.006,57,0.013,0.033,0.7,
UND,20160206,0.006,54,0.019,0.025,0.6,
UND,20160207,0.004,45,0.015,0.026,0.7,
UND,20160208,0.006,73,0.031,0.019,0.7,
UND,20160209,0.004,55,0.03,0.012,0.4,
UND,20160210,0.005,48,0.01,0.031,0.7,
UND,20160211,0.005,54,0.014,0.031,0.8,
UND,20160212,0.005,45,0.007,0.034,0.9,
UND,20160213,0.006,36,0.007,0.028,1,
UND,20160214,0.004,31,0.026,0.007,0.4,
UND,20160215,0.003,43,0.027,0.012,0.3,
UND,20160216,0.002,44,0.023,0.016,0.4,
UND,20160217,0.003,46,0.015,0.025,0.5,
UND,20160218,0.004,53,0.02,0.029,0.6,
UND,20160219,0.006,90,0.011,0.035,0.8,
UND,20160220,0.004,84,0.017,0.025,0.5,
UND,20160221,0.003,32,0.024,0.016,0.4,
UND,20160222,0.004,50,0.01,0.032,0.5,
UND,20160223,0.003,69,0.021,0.02,0.5,
UND,20160224,0.002,41,0.024,0.015,0.4,
UND,20160225,0.003,48,0.024,0.019,0.5,
UND,20160226,0.002,67,0.02,0.026,0.6,
UND,20160227,0.004,64,0.019,0.027,0.6,
UND,20160228,0.004,57,0.008,0.028,0.8,
UND,20160229,0.003,56,0.03,0.012,0.4,
MPD,20160201,0.003,41,0.022,0.013,0.4,
MPD,20160202,0.004,49,0.013,0.023,0.4,
MPD,20160203,0.005,64,0.018,0.028,0.4,
MPD,20160204,0.005,62,0.017,0.025,0.4,
MPD,20160205,0.004,50,0.015,0.025,0.3,
MPD,20160206,0.004,51,0.022,0.019,0.3,
MPD,20160207,0.003,49,0.018,0.022,0.3,
MPD,20160208,0.005,74,0.032,0.015,0.4,
MPD,20160209,0.004,53,0.031,0.008,0.2,
MPD,20160210,0.003,38,0.012,0.022,0.3,
MPD,20160211,0.004,49,0.014,0.027,0.4,
MPD,20160212,0.004,34,0.009,0.027,0.4,
MPD,20160213,0.003,24,0.01,0.019,0.3,
MPD,20160214,0.002,33,0.028,0.004,0.1,
MPD,20160215,0.002,37,0.029,0.01,0.2,
MPD,20160216,0.003,39,0.023,0.015,0.4,
MPD,20160217,0.003,40,0.017,0.02,0.3,
MPD,20160218,0.004,57,0.02,0.023,0.4,
MPD,20160219,0.005,91,0.012,0.029,0.5,
MPD,20160220,0.004,92,0.018,0.021,0.5,
MPD,20160221,0.004,38,0.027,0.012,0.3,
MPD,20160222,0.004,53,0.01,0.028,0.5,
MPD,20160223,0.005,75,0.023,0.019,0.5,
MPD,20160224,0.004,40,0.026,0.014,0.3,
MPD,20160225,0.004,56,0.019,0.023,0.4,
MPD,20160226,0.003,86,0.02,0.025,0.5,
MPD,20160227,0.004,87,0.025,0.021,0.5,
MPD,20160228,0.003,92,0.011,0.025,0.6,
MPD,20160229,0.003,53,0.031,0.011,0.3,
MCD,20160201,0.005,32,0.024,0.021,0.3,
MCD,20160202,0.007,42,0.014,0.031,0.5,
MCD,20160203,0.007,48,0.017,0.031,0.7,
MCD,20160204,0.007,48,0.017,0.034,0.7,
MCD,20160205,0.006,48,0.017,0.032,0.6,
MCD,20160206,0.006,44,0.022,0.025,0.5,
MCD,20160207,0.006,39,0.02,0.024,0.6,
MCD,20160208,0.007,64,0.037,0.017,0.6,
MCD,20160209,0.004,55,0.033,0.014,0.4,
MCD,20160210,0.005,39,0.016,0.028,0.5,
MCD,20160211,0.011,42,0.015,0.036,1,
MCD,20160212,0.006,38,0.008,0.04,1,
MCD,20160213,0.007,25,0.009,0.028,1.1,
MCD,20160214,0.002,34,0.029,0.01,0.3,
MCD,20160215,0.003,27,0.033,0.01,0.3,
MCD,20160216,0.003,29,0.029,0.013,0.3,
MCD,20160217,0.004,29,0.023,0.018,0.4,
MCD,20160218,0.006,37,0.026,0.026,0.6,
MCD,20160219,0.007,82,0.017,0.034,0.7,
MCD,20160220,0.005,72,0.019,0.029,0.6,
MCD,20160221,0.004,30,0.028,0.017,0.4,
MCD,20160222,0.006,39,0.012,0.033,0.6,
MCD,20160223,0.004,62,0.029,0.019,0.4,
MCD,20160224,0.004,27,0.031,0.014,0.3,
MCD,20160225,0.005,37,0.031,0.018,0.5,
MCD,20160226,0.003,73,0.031,0.021,0.5,
MCD,20160227,0.005,64,0.023,0.028,0.6,
MCD,20160228,0.004,68,0.01,0.033,0.7,
MCD,20160229,0.003,48,0.035,0.013,0.4,
GSD,20160201,0.004,31,0.025,0.007,0.3,
GSD,20160202,0.004,37,0.019,0.01,0.4,
GSD,20160203,0.003,47,0.017,0.011,0.6,
GSD,20160204,0.003,45,0.02,0.011,0.5,
GSD,20160205,0.003,33,0.022,,0.4,
GSD,20160206,0.004,38,0.028,0.009,0.4,
GSD,20160207,0.003,39,0.016,0.014,0.4,
GSD,20160208,0.004,64,0.032,0.01,0.5,
GSD,20160209,0.004,50,0.033,0.007,0.3,
GSD,20160210,0.002,30,0.013,0.019,0.4,
GSD,20160211,0.003,39,0.013,0.023,0.6,
GSD,20160212,0.003,35,0.007,0.024,0.6,
GSD,20160213,0.002,18,0.009,0.019,0.5,
GSD,20160214,0.002,27,0.029,0.003,0.1,
GSD,20160215,0.002,29,0.033,0.003,0.2,
GSD,20160216,0.002,30,0.028,0.005,0.3,
GSD,20160217,0.002,26,0.022,0.008,0.3,
GSD,20160218,0.003,41,0.024,0.011,0.4,
GSD,20160219,0.004,76,0.016,0.016,0.5,
GSD,20160220,0.003,70,0.022,0.012,0.4,
GSD,20160221,0.003,28,0.031,0.006,0.3,
GSD,20160222,0.003,43,0.014,0.018,0.4,
GSD,20160223,0.003,61,0.027,0.01,0.4,
GSD,20160224,0.003,28,0.03,0.006,0.3,
GSD,20160225,0.003,42,0.027,0.009,0.4,
GSD,20160226,0.002,73,0.028,0.011,0.4,
GSD,20160227,0.003,69,0.026,0.013,0.4,
GSD,20160228,0.003,77,0.012,0.016,0.5,
GSD,20160229,0.003,39,0.036,0.004,0.2,
NED,20160201,0.003,34,0.024,0.012,0.3,18
NED,20160202,0.003,45,0.013,0.024,0.4,26
NED,20160203,0.003,54,0.013,0.028,0.5,32
NED,20160204,0.003,55,0.018,0.024,0.5,36
NED,20160205,0.004,44,0.021,0.02,0.5,21
NED,20160206,0.004,49,0.022,0.017,0.4,27
NED,20160207,0.003,48,0.016,0.021,0.4,27
NED,20160208,0.003,69,0.028,0.016,0.5,40
NED,20160209,0.003,57,0.03,0.008,0.3,28
NED,20160210,0.003,41,0.011,0.028,0.5,21
NED,20160211,0.006,59,0.008,0.034,0.9,31
NED,20160212,0.003,46,0.003,0.032,0.8,29
NED,20160213,0.003,30,0.008,0.022,0.9,16
NED,20160214,0.002,33,0.024,0.004,0.2,16
NED,20160215,0.002,33,0.029,0.006,0.2,16
NED,20160216,0.002,36,0.025,0.009,0.3,20
NED,20160217,0.003,36,0.019,0.018,0.4,17
NED,20160218,0.003,45,0.024,0.019,0.4,24
NED,20160219,0.003,85,0.013,0.027,0.6,46
NED,20160220,0.003,76,0.018,0.017,0.4,36
NED,20160221,0.002,36,0.026,0.012,0.3,19
NED,20160222,0.003,49,0.01,0.027,0.4,27
NED,20160223,0.003,62,0.023,0.014,0.4,34
NED,20160224,0.002,31,0.028,0.011,0.3,19
NED,20160225,0.003,45,0.024,0.018,0.4,27
NED,20160226,0.002,74,0.023,0.02,0.5,58
NED,20160227,0.003,70,0.022,0.02,0.4,55
NED,20160228,0.003,78,0.013,0.022,0.5,61
SND,20160201,0.008,26,0.021,0.014,0.4,16
SND,20160202,0.01,32,0.015,0.018,0.6,18
SND,20160203,0.01,41,0.014,0.021,0.7,23
SND,20160204,0.012,41,0.014,0.022,0.9,26
SND,20160205,0.012,34,0.014,0.02,0.8,20
SND,20160206,0.01,33,0.021,0.015,0.6,21
SND,20160207,0.01,31,0.017,0.015,0.7,22
SND,20160208,0.011,48,0.033,0.011,0.7,33
SND,20160209,0.008,40,0.029,0.008,0.5,27
SND,20160210,0.012,32,0.014,,0.8,21
SND,20160211,0.013,38,0.018,,0.9,26
SND,20160212,0.008,26,0.013,0.023,0.6,18
SND,20160213,0.01,21,0.012,0.023,1.1,16
SND,20160214,0.004,22,0.027,0.008,0.3,18
SND,20160215,0.005,23,0.029,0.01,0.3,15
SND,20160216,0.006,23,0.024,0.013,0.4,16
SND,20160217,0.01,22,0.019,0.017,0.5,14
SND,20160218,0.009,31,0.024,0.02,0.6,18
SND,20160219,0.009,63,0.017,0.023,0.7,33
SND,20160220,0.008,62,0.018,0.02,0.6,28
SND,20160221,0.007,22,0.028,0.013,0.4,13
SND,20160222,0.007,31,0.017,0.021,0.5,17
SND,20160223,0.007,48,0.025,0.015,0.5,27
SND,20160224,0.006,21,0.027,0.012,0.4,15
SND,20160225,0.008,31,0.027,0.015,0.5,18
SND,20160226,0.007,55,0.026,0.018,0.6,40
SND,20160227,0.008,56,0.02,0.022,0.6,35
SND,20160228,0.008,56,0.008,0.024,0.7,34
SND,20160229,0.006,32,0.031,0.011,0.4,21
JLD,20160201,0.003,30,0.023,0.017,0.3,17
JLD,20160202,0.004,39,0.016,0.026,0.5,25
JLD,20160203,0.003,44,0.017,0.027,0.6,32
JLD,20160204,0.004,45,0.02,0.027,0.6,34
JLD,20160205,0.003,37,0.019,0.024,0.5,23
JLD,20160206,0.004,38,0.025,0.019,0.5,22
JLD,20160207,0.002,39,0.023,0.017,0.5,24
JLD,20160208,0.004,59,0.036,0.013,0.5,38
JLD,20160209,0.003,50,0.031,0.013,0.4,29
JLD,20160210,0.003,40,0.014,0.025,0.6,23
JLD,20160211,0.004,45,0.009,0.033,0.8,29
JLD,20160212,0.003,35,0.001,0.042,1.1,26
JLD,20160213,0.003,25,0.006,0.03,1.1,15
JLD,20160214,0.001,32,0.027,0.01,0.4,15
JLD,20160215,0.002,27,0.031,0.011,0.3,11
JLD,20160216,0.002,29,0.027,0.014,0.4,15
JLD,20160217,0.002,27,0.02,0.019,0.3,12
JLD,20160218,0.002,36,0.025,0.021,0.4,22
JLD,20160219,0.004,70,0.015,0.033,0.7,42
JLD,20160220,0.003,58,0.019,0.027,0.6,33
JLD,20160221,0.002,29,0.027,0.015,0.3,15
JLD,20160222,0.002,41,0.014,0.026,0.5,25
JLD,20160223,0.003,52,0.027,0.019,0.4,32
JLD,20160224,0.003,27,0.028,0.014,0.4,14
JLD,20160225,0.003,36,0.031,0.015,0.4,19
JLD,20160226,0.002,63,0.026,0.023,0.6,51
JLD,20160227,0.003,55,0.023,0.026,0.6,44
JLD,20160228,0.002,56,0.008,0.032,0.7,56
JLD,20160229,0.003,41,0.034,0.014,0.4,24
DSD,20160201,0.003,28,0.021,0.012,0.3,
DSD,20160202,0.004,37,0.015,0.017,0.3,
DSD,20160203,0.004,48,0.013,0.021,0.5,
DSD,20160204,0.003,43,0.014,0.022,0.5,
DSD,20160205,0.004,39,0.015,0.02,0.4,
DSD,20160206,0.004,40,0.021,0.014,0.3,
DSD,20160207,0.003,39,0.016,0.016,0.3,
